CLASSE,Hue,Saturation,Value,Vibration,Metal
Tecido,353.02,94.85,53.33,5.66,0
Tecido,356.22,94.08,59.61,4.94,0
Tecido,352.88,100.00,46.27,4.72,0
Tecido,352.32,96.15,50.98,4.37,0
Tecido,356.20,93.42,59.61,3.95,0
Tecido,352.88,100.00,46.27,3.44,0
Tecido,351.50,97.56,48.24,3.03,0
Tecido,355.71,92.72,59.22,2.80,0
Tecido,352.94,100.00,46.67,2.53,0
Tecido,350.85,99.16,46.67,3.08,0
Tecido,355.35,92.81,60.00,2.93,0
Tecido,353.28,100.00,49.02,2.88,0
Tecido,350.92,100.00,46.67,2.54,0
Tecido,355.32,92.76,59.61,2.65,0
Tecido,353.59,100.00,51.37,4.42,0
Tecido,351.36,100.00,46.27,4.08,0
Tecido,355.18,92.57,58.04,4.54,0
Tecido,353.96,100.00,54.51,5.77,0
Tecido,350.34,100.00,46.27,5.19,0
Tecido,355.32,92.76,59.61,4.51,0
Tecido,353.28,100.00,49.02,4.67,0
Tecido,350.85,100.00,46.27,6.55,0
Tecido,355.25,92.67,58.82,6.20,0
Tecido,353.68,100.00,52.16,5.61,0
Tecido,351.43,100.00,46.67,4.75,0
Tecido,355.18,92.57,58.04,4.27,0
Tecido,354.35,98.57,54.90,3.95,0
Tecido,352.44,100.00,46.67,3.60,0
Tecido,354.18,93.71,56.08,3.22,0
Tecido,355.68,96.53,56.47,3.20,0
Tecido,352.82,100.00,45.88,2.94,0
Tecido,354.05,93.57,54.90,2.68,0
Tecido,355.80,95.33,58.82,2.39,0
Tecido,352.88,100.00,46.27,2.17,0
Tecido,353.02,94.85,53.33,2.63,0
Tecido,356.25,94.12,60.00,2.30,0
Tecido,352.94,100.00,46.67,2.03,0
Tecido,352.13,96.06,49.80,1.75,0
Tecido,355.80,93.46,60.00,1.75,0
Tecido,352.94,100.00,46.67,1.71,0
Tecido,350.92,98.35,47.45,1.86,0
Tecido,355.77,92.81,60.00,2.02,0
Tecido,353.11,100.00,47.84,2.37,0
Tecido,350.34,100.00,46.27,2.70,0
Tecido,355.25,92.67,58.82,3.30,0
Tecido,353.33,100.00,49.41,3.60,0
Tecido,350.85,100.00,46.27,3.01,0
Tecido,355.22,92.62,58.43,3.19,0
Tecido,353.73,100.00,52.55,2.94,0
Tecido,351.43,100.00,46.67,2.96,0
Tecido,355.15,92.52,57.65,3.28,0
Tecido,354.35,99.28,54.51,2.72,0
Tecido,350.34,100.00,46.27,2.26,0
Tecido,355.32,92.76,59.61,2.55,0
Tecido,353.44,100.00,50.20,2.16,0
Tecido,350.85,100.00,46.27,2.06,0
Tecido,354.82,92.67,58.82,2.08,0
Tecido,353.78,100.00,52.94,2.27,0
Tecido,351.79,100.00,45.88,2.17,0
Tecido,355.15,92.52,57.65,2.44,0
Tecido,354.39,99.29,54.90,2.69,0
Tecido,350.26,100.00,45.88,2.55,0
Tecido,355.29,92.72,59.22,2.79,0
Tecido,353.39,100.00,49.80,3.95,0
Tecido,350.92,100.00,46.67,3.46,0
Tecido,355.25,92.67,58.82,3.25,0
Tecido,353.78,100.00,52.94,2.89,0
Tecido,351.43,100.00,46.67,2.97,0
Tecido,354.71,92.52,57.65,3.84,0
Tecido,354.39,99.29,54.90,4.62,0
Tecido,350.34,100.00,46.27,4.96,0
Tecido,355.35,92.81,60.00,4.55,0
Tecido,352.91,100.00,49.80,4.43,0
Tecido,350.85,100.00,46.27,4.47,0
Tecido,355.25,92.67,58.82,3.99,0
Tecido,353.64,100.00,51.76,4.10,0
Tecido,351.86,100.00,46.27,4.50,0
Tecido,355.15,92.52,57.65,5.11,0
Tecido,353.91,100.00,54.12,4.50,0
Tecido,350.34,100.00,46.27,3.72,0
Tecido,355.25,92.67,58.82,3.37,0
Tecido,352.80,100.00,49.02,5.52,0
Tecido,350.85,100.00,46.27,5.10,0
Tecido,355.25,92.67,58.82,5.71,0
Tecido,353.18,100.00,51.76,5.15,0
Tecido,351.28,100.00,45.88,4.87,0
Tecido,355.18,92.57,58.04,4.22,0
Tecido,353.91,100.00,54.12,3.70,0
Tecido,350.26,100.00,45.88,3.80,0
Tecido,355.25,92.67,58.82,3.57,0
Tecido,353.28,100.00,49.02,3.07,0
Tecido,350.85,100.00,46.27,2.96,0
Tecido,355.32,92.76,59.61,3.14,0
Tecido,353.64,100.00,51.76,2.98,0
Tecido,351.43,100.00,46.67,3.10,0
Tecido,355.15,92.52,57.65,2.95,0
Tecido,354.39,99.29,54.90,3.61,0
Tecido,349.92,100.00,46.67,3.19,0
Tecido,355.74,92.16,60.00,3.70,0
Tecido,353.39,100.00,49.80,3.23,0
Tecido,350.85,100.00,46.27,3.82,0
Tecido,355.25,92.05,59.22,3.72,0
Tecido,354.14,99.25,52.55,3.52,0
Tecido,351.43,100.00,46.67,3.16,0
Tecido,354.78,92.62,58.43,2.71,0
Tecido,354.35,98.57,54.90,2.72,0
Tecido,352.31,100.00,45.88,2.70,0
Tecido,354.67,93.10,56.86,2.92,0
Tecido,355.80,97.28,57.65,2.67,0
Tecido,351.28,100.00,45.88,2.89,0
Tecido,355.25,92.67,58.82,3.18,0
Tecido,354.14,99.25,52.55,2.95,0
Tecido,351.36,100.00,46.27,2.82,0
Tecido,355.15,92.52,57.65,2.34,0
Tecido,354.39,99.29,54.90,2.38,0
Tecido,350.34,100.00,46.27,2.14,0
Tecido,355.29,92.72,59.22,2.93,0
Tecido,353.33,100.00,49.41,3.61,0
Tecido,350.77,100.00,45.88,3.11,0
Tecido,355.29,92.72,59.22,3.05,0
Tecido,353.64,100.00,51.76,3.46,0
Tecido,351.36,100.00,46.27,4.23,0
Tecido,355.18,92.57,58.04,5.73,0
Tecido,353.87,100.00,53.73,6.55,0
Tecido,349.74,100.00,45.88,6.88,0
Tecido,355.32,92.76,59.61,5.79,0
Tecido,353.28,100.00,49.02,5.65,0
Tecido,350.85,100.00,46.27,5.70,0
Tecido,355.29,92.72,59.22,4.75,0
Tecido,353.49,100.00,50.59,4.29,0
Tecido,351.36,100.00,46.27,3.60,0
Tecido,355.25,92.67,58.82,3.18,0
Tecido,353.78,100.00,52.94,3.16,0
Tecido,351.86,100.00,46.27,2.72,0
Tecido,355.15,92.52,57.65,2.43,0
Tecido,354.39,99.29,54.90,2.58,0
Tecido,350.42,100.00,46.67,2.39,0
Tecido,355.29,92.72,59.22,2.21,0
Tecido,352.91,100.00,49.80,2.12,0
Tecido,351.28,100.00,45.88,1.91,0
Tecido,355.25,92.67,58.82,1.89,0
Tecido,353.64,100.00,51.76,1.82,0
Tecido,351.36,100.00,46.27,1.86,0
Tecido,355.25,92.67,58.82,1.93,0
Tecido,353.87,100.00,53.73,1.83,0
Tecido,349.74,100.00,45.88,2.70,0
Tecido,355.74,92.76,59.61,2.57,0
Tecido,353.23,100.00,48.63,2.50,0
Tecido,350.34,100.00,46.27,2.63,0
Tecido,355.35,92.81,60.00,2.43,0
Tecido,353.39,100.00,49.80,2.24,0
Tecido,350.85,100.00,46.27,2.29,0
Tecido,355.25,92.67,58.82,2.13,0
Tecido,353.18,100.00,51.76,2.13,0
Tecido,351.36,100.00,46.27,2.15,0
Tecido,355.18,92.57,58.04,2.94,0
Tecido,353.87,100.00,53.73,2.86,0
Tecido,349.92,100.00,46.67,3.01,0
Tecido,355.25,92.67,58.82,2.83,0
Tecido,353.11,100.00,47.84,2.57,0
Tecido,350.92,100.00,46.67,2.89,0
Tecido,355.32,92.76,59.61,2.92,0
Tecido,353.39,100.00,49.80,2.71,0
Tecido,351.43,100.00,46.67,2.61,0
Tecido,355.25,92.67,58.82,2.61,0
Tecido,353.68,100.00,52.16,2.38,0
Tecido,349.32,100.00,46.27,2.44,0
Tecido,355.38,93.46,60.00,2.18,0
Tecido,352.50,100.00,47.06,2.15,0
Tecido,349.74,100.00,45.88,2.08,0
Tecido,355.29,92.72,59.22,1.86,0
Tecido,353.28,100.00,49.02,2.88,0
Tecido,350.34,100.00,46.27,2.62,0
Tecido,355.29,92.72,59.22,2.79,0
Tecido,353.44,100.00,50.20,3.45,0
Tecido,349.32,100.00,46.27,3.51,0
Tecido,356.20,92.81,60.00,3.70,0
Tecido,352.50,100.00,47.06,4.03,0
Tecido,350.85,98.33,47.06,4.62,0
Tecido,355.71,92.72,59.22,4.34,0
Tecido,353.17,100.00,48.24,4.30,0
Tecido,350.34,100.00,46.27,4.43,0
Tecido,355.25,92.67,58.82,3.96,0
Tecido,352.86,100.00,49.41,3.59,0
Tecido,349.23,100.00,45.88,3.44,0
Tecido,355.80,93.46,60.00,3.39,0
Tecido,352.94,100.00,46.67,3.20,0
Tecido,351.36,97.52,47.45,2.83,0
Tecido,355.74,92.76,59.61,2.46,0
Tecido,353.11,100.00,47.84,2.28,0
Tecido,349.32,99.16,46.67,2.23,0
Tecido,356.25,94.12,60.00,2.62,0
Tecido,352.88,100.00,46.27,2.73,0
Tecido,352.13,95.31,50.20,2.61,0
Tecido,355.71,96.55,56.86,2.72,0
Tecido,352.37,100.00,46.27,2.51,0
Tecido,354.05,93.57,54.90,3.16,0
Tecido,354.14,99.25,52.55,2.83,0
Tecido,351.93,100.00,46.67,3.11,0
Tecido,355.15,92.52,57.65,3.52,0
Tecido,354.26,98.55,54.12,3.36,0
Tecido,352.37,100.00,46.27,3.55,0
Tecido,354.67,93.10,56.86,3.56,0
Tecido,355.22,97.18,55.69,3.86,0
Tecido,352.82,100.00,45.88,3.62,0
Tecido,354.50,92.91,55.29,3.82,0
Tecido,353.64,100.00,51.76,3.44,0
Tecido,349.74,100.00,45.88,3.04,0
Tecido,355.71,92.72,59.22,2.72,0
Tecido,353.06,100.00,47.45,2.79,0
Tecido,350.34,99.16,46.67,2.69,0
Tecido,355.29,92.72,59.22,2.29,0
Tecido,353.28,100.00,49.02,3.08,0
Tecido,349.32,100.00,46.27,2.98,0
Tecido,355.77,93.42,59.61,2.48,0
Tecido,352.37,100.00,46.27,2.50,0
Tecido,351.43,97.54,47.84,2.96,0
Tecido,355.77,92.81,60.00,2.57,0
Tecido,352.62,100.00,47.84,3.15,0
Tecido,349.74,98.32,46.67,4.75,0
Tecido,356.25,94.12,60.00,4.57,0
Tecido,352.94,100.00,46.67,4.68,0
Tecido,351.71,95.35,50.59,5.23,0
Tecido,355.68,96.53,56.47,5.02,0
Tecido,352.44,100.00,46.67,6.35,0
Tecido,354.09,93.62,55.29,6.90,0
Tecido,353.78,100.00,52.94,6.06,0
Tecido,349.92,100.00,46.67,5.81,0
Tecido,355.68,92.67,58.82,5.82,0
Tecido,353.06,100.00,47.45,5.39,0
Tecido,349.92,100.00,46.67,4.64,0
Tecido,355.32,92.76,59.61,4.32,0
Tecido,352.74,100.00,48.63,3.95,0
Tecido,349.83,99.16,46.67,3.53,0
Tecido,355.71,93.33,58.82,3.49,0
Tecido,352.88,100.00,46.27,3.74,0
Tecido,351.28,95.90,47.84,3.23,0
Tecido,356.20,95.30,58.43,2.70,0
Tecido,352.88,100.00,46.27,2.98,0
Tecido,353.59,94.24,54.51,2.56,0
Tecido,356.71,95.42,60.00,2.35,0
Tecido,351.79,100.00,45.88,2.38,0
Tecido,354.67,93.10,56.86,2.54,0
Tecido,355.22,97.18,55.69,3.06,0
Tecido,352.94,100.00,46.67,3.33,0
Tecido,354.55,92.96,55.69,3.36,0
Tecido,355.74,95.92,57.65,4.18,0
Tecido,352.37,100.00,46.27,4.03,0
Tecido,353.95,93.48,54.12,4.14,0
Tecido,354.22,99.26,53.33,4.36,0
Tecido,349.92,100.00,46.67,4.56,0
Tecido,355.32,92.76,59.61,4.28,0
Tecido,353.28,100.00,49.02,3.70,0
Tecido,349.59,100.00,47.45,3.76,0
Tecido,355.77,93.42,59.61,4.31,0
Tecido,352.94,100.00,46.67,4.65,0
Tecido,350.77,96.69,47.45,4.56,0
Tecido,356.20,94.67,58.82,4.35,0
Tecido,352.88,100.00,46.27,4.73,0
Tecido,353.02,94.85,53.33,4.31,0
Tecido,357.50,94.12,60.00,3.90,0
Tecido,352.56,100.00,47.45,3.62,0
Tecido,354.63,93.06,56.47,3.50,0
Tecido,355.71,96.55,56.86,3.65,0
Tecido,352.37,100.00,46.27,3.39,0
Tecido,353.64,94.29,54.90,3.22,0
Tecido,356.64,95.33,58.82,2.76,0
Tecido,351.79,100.00,45.88,3.27,0
Tecido,355.15,92.52,57.65,2.69,0
Tecido,354.74,97.86,54.90,3.35,0
Tecido,352.37,100.00,46.27,3.28,0
Tecido,354.63,93.06,56.47,2.94,0
Tecido,355.68,96.53,56.47,3.95,0
Tecido,352.44,100.00,46.67,3.89,0
Tecido,354.14,93.66,55.69,4.38,0
Tecido,356.69,96.03,59.22,4.27,0
Tecido,351.43,100.00,46.67,4.30,0
Tecido,355.15,92.52,57.65,6.62,0
Tecido,354.22,98.54,53.73,5.69,0
Tecido,351.93,100.00,46.67,6.27,0
Tecido,354.71,93.15,57.25,6.06,0
Tecido,355.22,97.18,55.69,5.87,0
Tecido,352.37,100.00,46.27,6.01,0
Tecido,354.63,93.06,56.47,5.42,0
Tecido,355.25,96.53,56.47,5.00,0
Tecido,352.44,100.00,46.67,5.05,0
Tecido,354.05,93.57,54.90,4.53,0
Tecido,355.80,95.33,58.82,3.82,0
Tecido,352.88,100.00,46.27,4.17,0
Tecido,353.08,94.89,53.73,4.42,0
Tecido,356.25,94.12,60.00,4.99,0
Tecido,352.37,100.00,46.27,5.05,0
Tecido,352.38,95.45,51.76,4.77,0
Tecido,355.83,94.12,60.00,4.31,0
Tecido,352.44,100.00,46.67,4.70,0
Tecido,351.43,95.97,48.63,4.43,0
Tecido,356.22,96.62,58.04,4.13,0
Tecido,351.36,100.00,46.27,3.92,0
Tecido,354.82,93.29,58.43,3.54,0
Tecido,354.22,98.54,53.73,3.28,0
Tecido,352.44,100.00,46.67,3.15,0
Tecido,354.67,93.10,56.86,3.32,0
Tecido,355.22,97.18,55.69,3.87,0
Tecido,352.37,100.00,46.27,3.45,0
Tecido,354.14,93.66,55.69,8.05,0
Tecido,356.20,95.30,58.43,6.84,0
Tecido,352.88,100.00,46.27,6.75,0
Tecido,353.54,94.20,54.12,6.16,0
Tecido,356.64,94.08,59.61,6.47,0
Tecido,352.44,100.00,46.67,5.74,0
Tecido,349.32,99.16,46.67,5.44,0
Tecido,356.22,93.46,60.00,5.37,0
Tecido,352.94,100.00,46.67,4.84,0
Tecido,351.15,97.60,49.02,4.18,0
Tecido,355.77,92.81,60.00,4.05,0
Tecido,353.00,100.00,47.06,3.70,0
Tecido,350.85,99.16,46.67,3.84,0
Tecido,355.32,92.76,59.61,4.03,0
Tecido,352.74,100.00,48.63,3.71,0
Tecido,350.42,100.00,46.67,4.12,0
Tecido,355.29,92.72,59.22,4.39,0
Tecido,353.08,100.00,50.98,4.12,0
Tecido,351.50,100.00,47.06,3.76,0
Tecido,355.22,92.62,58.43,5.94,0
Tecido,354.22,99.26,53.33,5.58,0
Tecido,351.93,100.00,46.67,5.09,0
Tecido,355.18,92.57,58.04,5.34,0
Tecido,354.82,97.89,55.69,5.82,0
Tecido,352.44,100.00,46.67,4.91,0
Tecido,354.63,93.06,56.47,4.03,0
Tecido,355.29,96.55,56.86,3.65,0
Tecido,352.37,100.00,46.27,3.39,0
Tecido,354.09,93.62,55.29,3.32,0
Tecido,355.77,95.30,58.43,3.48,0
Tecido,352.44,100.00,46.67,6.04,0
Tecido,353.49,94.16,53.73,5.84,0
Tecido,356.25,94.74,59.61,8.05,0
Tecido,352.44,100.00,46.67,7.78,0
Tecido,352.38,95.45,51.76,9.13,0
Tecido,356.22,93.46,60.00,7.78,0
Tecido,352.94,100.00,46.67,6.86,0
Tecido,351.64,96.83,49.41,6.21,0
Tecido,355.80,93.46,60.00,5.71,0
Tecido,353.00,100.00,47.06,5.73,0
Tecido,350.92,97.54,47.84,5.39,0
Tecido,355.77,92.81,60.00,5.53,0
Tecido,352.62,100.00,47.84,5.59,0
Tecido,350.34,99.16,46.67,4.78,0
Tecido,355.29,92.72,59.22,5.21,0
Tecido,352.80,100.00,49.02,4.41,0
Tecido,350.92,100.00,46.67,4.30,0
Tecido,355.29,92.72,59.22,3.81,0
Tecido,353.18,100.00,51.76,3.62,0
Tecido,351.43,100.00,46.67,4.51,0
Tecido,355.15,92.52,57.65,4.04,0
Tecido,354.26,99.27,53.73,3.59,0
Tecido,350.42,100.00,46.67,3.28,0
Tecido,355.32,92.76,59.61,3.30,0
Tecido,352.86,100.00,49.41,3.12,0
Tecido,350.92,100.00,46.67,3.62,0
Tecido,354.86,92.72,59.22,3.69,0
Tecido,353.73,100.00,52.55,4.82,0
Tecido,351.36,100.00,46.27,4.08,0
Tecido,355.15,92.52,57.65,6.20,0
Tecido,354.26,98.55,54.12,5.53,0
Tecido,352.37,100.00,46.27,5.31,0
Tecido,354.63,93.06,56.47,5.90,0
Tecido,355.29,97.90,56.08,7.40,0
Tecido,350.92,100.00,46.67,7.42,0
Tecido,355.22,92.62,58.43,6.55,0
Tecido,353.68,100.00,52.16,5.73,0
Tecido,349.41,100.00,46.67,5.48,0
Tecido,355.77,92.81,60.00,5.49,0
Tecido,352.50,100.00,47.06,4.85,0
Tecido,349.66,98.31,46.27,5.45,0
Tecido,355.83,94.12,60.00,4.53,0
Tecido,352.94,100.00,46.67,6.89,0
Tecido,351.64,96.06,49.80,8.39,0
Tecido,355.80,93.46,60.00,10.56,0
Tecido,352.44,100.00,46.67,8.82,0
Tecido,350.92,97.54,47.84,7.29,0
Tecido,355.74,92.76,59.61,9.39,0
Tecido,352.56,100.00,47.45,9.11,0
Tecido,350.50,99.17,47.45,8.16,0
Tecido,355.35,92.81,60.00,7.41,0
Tecido,353.23,100.00,48.63,6.33,0
Tecido,350.42,100.00,46.67,5.36,0
Tecido,354.86,92.72,59.22,4.94,0
Tecido,353.18,100.00,51.76,7.42,0
Tecido,351.43,100.00,46.67,6.93,0
Tecido,355.18,92.57,58.04,7.85,0
Tecido,353.82,100.00,53.33,7.00,0
Tecido,349.92,100.00,46.67,7.66,0
Tecido,355.35,92.81,60.00,6.55,0
Tecido,353.28,100.00,49.02,6.39,0
Tecido,350.42,100.00,46.67,6.17,0
Tecido,355.29,92.72,59.22,5.90,0
Tecido,353.59,100.00,51.37,5.42,0
Tecido,351.36,100.00,46.27,4.88,0
Tecido,355.29,92.72,59.22,4.27,0
Tecido,353.87,100.00,53.73,4.22,0
Tecido,349.92,100.00,46.67,3.50,0
Tecido,355.77,92.81,60.00,3.22,0
Tecido,353.23,100.00,48.63,4.10,0
Tecido,350.42,100.00,46.67,5.36,0
Tecido,355.32,92.76,59.61,6.62,0
Tecido,353.54,100.00,50.98,5.97,0
Tecido,351.36,100.00,46.27,6.71,0
Tecido,355.22,92.62,58.43,6.56,0
Tecido,353.82,100.00,53.33,7.62,0
Tecido,349.83,100.00,46.27,7.30,0
Tecido,355.32,92.76,59.61,6.59,0
Tecido,353.23,100.00,48.63,8.77,0
Tecido,350.34,100.00,46.27,10.32,0
Tecido,355.32,92.76,59.61,11.30,0
Tecido,353.54,100.00,50.98,10.92,0
Tecido,349.41,100.00,46.67,10.04,0
Tecido,355.77,92.81,60.00,9.60,0
Tecido,353.06,100.00,47.45,8.12,0
Tecido,350.42,98.35,47.45,6.74,0
Tecido,355.77,92.81,60.00,8.20,0
Tecido,353.11,100.00,47.84,7.99,0
Tecido,349.74,98.32,46.67,7.65,0
Tecido,357.50,94.12,60.00,6.30,0
Tecido,352.44,100.00,46.67,6.51,0
Tecido,354.55,92.96,55.69,6.26,0
Tecido,355.83,96.64,58.43,7.17,0
Tecido,351.43,100.00,46.67,5.88,0
Tecido,355.22,92.62,58.43,4.87,0
Tecido,353.78,99.26,53.33,4.51,0
Tecido,352.44,100.00,46.67,4.46,0
Tecido,354.63,92.41,56.86,3.98,0
Tecido,355.22,97.18,55.69,4.32,0
Tecido,352.37,100.00,46.27,4.44,0
Tecido,354.55,92.96,55.69,4.76,0
Tecido,356.22,96.62,58.04,4.89,0
Tecido,351.36,100.00,46.27,4.90,0
Tecido,354.78,92.62,58.43,6.48,0
Tecido,353.82,99.27,53.73,5.93,0
Tecido,195.56,32.53,32.55,1.40,0
Tecido,192.00,27.03,29.02,2.57,0
Tecido,200.00,3.57,32.94,3.28,0
Tecido,222.86,9.46,29.02,3.95,0
Tecido,198.46,32.50,31.37,4.42,0
Tecido,25.71,8.14,33.73,4.79,0
Tecido,192.00,27.03,29.02,4.99,0
Tecido,188.57,16.67,32.94,4.96,0
Tecido,10.00,13.64,34.51,4.62,0
Tecido,195.00,27.03,29.02,4.70,0
Tecido,200.00,3.57,32.94,4.30,0
Tecido,355.00,14.12,33.33,4.01,0
Tecido,198.00,26.67,29.41,4.32,0
Tecido,0.00,3.45,34.12,4.15,0
Tecido,194.12,22.97,29.02,4.01,0
Tecido,193.33,32.93,32.16,4.34,0
Tecido,13.33,10.00,35.29,4.23,0
Tecido,198.00,27.03,29.02,3.79,0
Tecido,195.00,23.81,32.94,3.23,0
Tecido,17.14,8.14,33.73,3.33,0
Tecido,201.00,27.03,29.02,2.85,0
Tecido,190.91,13.10,32.94,2.70,0
Tecido,300.00,5.41,29.02,2.66,0
Tecido,201.60,32.05,30.59,3.20,0
Tecido,15.00,4.65,33.73,3.25,0
Tecido,195.79,25.68,29.02,3.24,0
Tecido,190.91,26.19,32.94,3.01,0
Tecido,0.00,14.94,34.12,3.08,0
Tecido,199.09,29.33,29.41,2.99,0
Tecido,320.00,3.53,33.33,2.74,0
Tecido,320.00,7.89,29.80,2.41,0
Tecido,205.00,30.77,30.59,2.26,0
Tecido,8.57,7.87,34.90,2.29,0
Tecido,194.29,28.38,29.02,1.91,0
Tecido,192.50,28.57,32.94,2.07,0
Tecido,355.38,14.94,34.12,2.00,0
Tecido,196.36,29.33,29.41,1.86,0
Tecido,0.00,2.33,33.73,2.20,0
Tecido,205.71,18.92,29.02,2.52,0
Tecido,197.14,34.15,32.16,2.66,0
Tecido,9.23,14.44,35.29,3.11,0
Tecido,198.00,27.03,29.02,4.54,0
Tecido,197.14,8.24,33.33,4.61,0
Tecido,0.00,14.77,34.51,4.70,0
Tecido,200.00,28.00,29.41,4.28,0
Tecido,330.00,2.35,33.33,3.88,0
Tecido,210.00,16.22,29.02,3.78,0
Tecido,198.62,35.37,32.16,4.22,0
Tecido,8.57,7.78,35.29,3.64,0
Tecido,195.79,25.68,29.02,3.68,0
Tecido,193.85,30.95,32.94,3.77,0
Tecido,18.00,11.11,35.29,3.23,0
Tecido,197.14,28.38,29.02,2.89,0
Tecido,190.00,21.43,32.94,2.63,0
Tecido,354.55,13.10,32.94,2.37,0
Tecido,199.09,29.33,29.41,2.26,0
Tecido,0.00,4.55,34.51,1.99,0
Tecido,200.00,24.32,29.02,1.70,0
Tecido,192.86,33.73,32.55,1.73,0
Tecido,8.57,15.56,35.29,2.18,0
Tecido,197.14,28.38,29.02,2.41,0
Tecido,180.00,3.57,32.94,2.44,0
Tecido,231.43,9.46,29.02,2.61,0
Tecido,204.44,33.33,31.76,2.33,0
Tecido,0.00,6.67,35.29,2.05,0
Tecido,203.33,24.32,29.02,2.05,0
Tecido,195.56,32.53,32.55,2.17,0
Tecido,13.33,10.00,35.29,1.83,0
Tecido,198.00,27.03,29.02,1.73,0
Tecido,189.47,22.62,32.94,1.52,0
Tecido,34.29,8.33,32.94,1.49,0
Tecido,197.14,28.38,29.02,1.62,0
Tecido,188.57,8.33,32.94,1.75,0
Tecido,270.00,8.11,29.02,1.79,0
Tecido,204.44,33.75,31.37,1.74,0
Tecido,351.43,7.78,35.29,1.87,0
Tecido,204.00,20.27,29.02,1.90,0
Tecido,198.62,34.94,32.55,1.87,0
Tecido,9.23,14.44,35.29,2.19,0
Tecido,197.14,28.38,29.02,2.09,0
Tecido,190.00,7.14,32.94,2.03,0
Tecido,250.00,8.11,29.02,2.05,0
Tecido,200.00,33.75,31.37,2.34,0
Tecido,18.00,11.11,35.29,2.35,0
Tecido,195.00,27.03,29.02,2.18,0
Tecido,191.25,19.05,32.94,2.26,0
Tecido,343.64,13.41,32.16,3.80,0
Tecido,202.50,31.17,30.20,4.21,0
Tecido,0.00,5.62,34.90,4.53,0
Tecido,198.95,25.68,29.02,4.07,0
Tecido,191.54,31.33,32.55,3.43,0
Tecido,24.00,11.24,34.90,3.31,0
Tecido,197.14,28.38,29.02,3.30,0
Tecido,190.59,20.24,32.94,2.91,0
Tecido,345.00,14.46,32.55,2.73,0
Tecido,201.82,28.95,29.80,2.58,0
Tecido,348.00,5.68,34.51,2.29,0
Tecido,18.00,11.24,34.90,2.80,0
Tecido,197.14,28.38,29.02,2.38,0
Tecido,189.23,15.48,32.94,2.18,0
Tecido,333.33,11.39,30.98,2.23,0
Tecido,205.00,30.77,30.59,2.00,0
Tecido,348.00,5.68,34.51,2.25,0
Tecido,225.00,10.81,29.02,2.34,0
Tecido,202.22,33.75,31.37,2.54,0
Tecido,0.00,6.67,35.29,2.43,0
