CLASSE,Hue,Saturation,Value,Vibration,Metal
Madeira,24.00,54.95,35.69,12.45,0
Madeira,25.00,56.47,33.33,14.68,0
Madeira,24.88,51.25,31.37,15.16,0
Madeira,21.11,56.25,37.65,18.06,0
Madeira,24.49,56.98,33.73,21.52,0
Madeira,24.29,52.50,31.37,23.60,0
Madeira,21.11,56.25,37.65,27.05,0
Madeira,22.80,57.47,34.12,23.40,0
Madeira,24.62,48.75,31.37,23.38,0
Madeira,21.82,57.29,37.65,20.37,0
Madeira,25.91,54.32,31.76,17.65,0
Madeira,27.69,48.15,31.76,15.26,0
Madeira,21.72,60.42,37.65,13.92,0
Madeira,24.29,52.50,31.37,12.01,0
Madeira,21.92,55.32,36.86,11.54,0
Madeira,22.64,58.89,35.29,9.56,0
Madeira,24.00,50.00,31.37,9.08,0
Madeira,22.22,56.25,37.65,14.87,0
Madeira,24.00,54.22,32.55,17.84,0
Madeira,26.15,48.75,31.37,17.50,0
Madeira,20.69,59.79,38.04,17.99,0
Madeira,26.51,53.75,31.37,15.71,0
Madeira,23.53,55.43,36.08,13.70,0
Madeira,22.50,56.47,33.33,12.56,0
Madeira,24.62,48.75,31.37,11.00,0
Madeira,22.91,57.29,37.65,9.73,0
Madeira,26.51,53.75,31.37,9.16,0
Madeira,26.34,49.40,32.55,8.77,0
Madeira,23.57,58.95,37.25,12.29,0
Madeira,26.51,53.75,31.37,12.91,0
Madeira,22.17,52.27,34.51,13.33,0
Madeira,23.16,59.38,37.65,12.23,0
Madeira,25.71,52.50,31.37,13.28,0
Madeira,23.48,52.87,34.12,12.99,0
Madeira,23.16,59.38,37.65,11.44,0
Madeira,26.51,53.75,31.37,9.72,0
Madeira,24.00,51.72,34.12,9.25,0
Madeira,23.08,58.43,34.90,8.25,0
Madeira,24.88,51.25,31.37,7.91,0
Madeira,21.43,57.73,38.04,6.79,0
Madeira,24.26,55.29,33.33,6.29,0
Madeira,24.88,51.25,31.37,7.19,0
Madeira,21.11,56.25,37.65,6.62,0
Madeira,23.75,56.47,33.33,6.11,0
Madeira,27.00,50.00,31.37,6.32,0
Madeira,21.82,57.29,37.65,8.44,0
Madeira,25.71,52.50,31.37,8.30,0
Madeira,27.69,48.15,31.76,7.87,0
Madeira,21.05,60.00,37.25,10.15,0
Madeira,25.71,52.50,31.37,10.59,0
Madeira,21.92,55.32,36.86,13.76,0
Madeira,24.00,56.82,34.51,12.39,0
Madeira,25.12,53.75,31.37,11.99,0
Madeira,21.92,55.32,36.86,14.03,0
Madeira,23.53,57.30,34.90,14.43,0
Madeira,25.12,53.75,31.37,13.92,0
Madeira,22.64,56.38,36.86,13.03,0
Madeira,24.00,54.88,32.16,11.27,0
Madeira,26.15,48.75,31.37,11.10,0
Madeira,23.16,59.38,37.65,11.28,0
Madeira,25.12,53.75,31.37,10.68,0
Madeira,25.91,51.76,33.33,10.31,0
Madeira,22.64,58.89,35.29,11.85,0
Madeira,24.88,51.25,31.37,11.25,0
Madeira,21.51,55.79,37.25,10.41,0
Madeira,22.98,55.95,32.94,10.33,0
Madeira,27.00,50.00,31.37,9.81,0
Madeira,22.50,58.33,37.65,8.88,0
Madeira,25.71,52.50,31.37,10.02,0
Madeira,26.34,49.40,32.55,9.37,0
Madeira,24.00,59.14,36.47,8.94,0
Madeira,25.71,52.50,31.37,8.84,0
Madeira,24.49,54.44,35.29,9.55,0
Madeira,23.27,56.98,33.73,15.63,0
Madeira,25.50,50.00,31.37,14.89,0
Madeira,22.76,59.79,38.04,13.81,0
Madeira,26.51,53.75,31.37,11.74,0
Madeira,24.26,52.81,34.90,13.09,0
Madeira,22.80,57.47,34.12,12.35,0
Madeira,25.50,50.00,31.37,12.26,0
Madeira,23.16,59.38,37.65,15.30,0
Madeira,25.12,53.75,31.37,14.08,0
Madeira,24.78,52.27,34.51,12.42,0
Madeira,23.08,59.09,34.51,11.98,0
Madeira,24.88,51.25,31.37,11.20,0
Madeira,22.76,59.79,38.04,9.28,0
Madeira,27.91,53.75,31.37,8.30,0
Madeira,26.09,52.87,34.12,8.33,0
Madeira,21.92,58.43,34.90,7.11,0
Madeira,23.41,51.25,31.37,6.24,0
Madeira,22.50,58.33,37.65,6.57,0
Madeira,26.51,53.75,31.37,8.91,0
Madeira,23.18,51.76,33.33,8.68,0
Madeira,22.11,58.76,38.04,9.01,0
Madeira,26.51,53.75,31.37,8.25,0
Madeira,25.12,50.59,33.33,7.65,0
Madeira,23.33,58.70,36.08,6.18,0
Madeira,26.51,53.75,31.37,6.72,0
Madeira,24.00,54.95,35.69,6.86,0
Madeira,23.75,55.81,33.73,7.45,0
Madeira,25.71,52.50,31.37,6.87,0
Madeira,21.82,57.29,37.65,7.33,0
Madeira,26.51,53.75,31.37,6.33,0
Madeira,27.69,48.15,31.76,5.48,0
Madeira,22.50,58.95,37.25,5.82,0
Madeira,24.29,52.50,31.37,5.45,0
Madeira,24.26,52.81,34.90,6.98,0
Madeira,23.27,56.32,34.12,6.94,0
Madeira,24.29,52.50,31.37,7.36,0
Madeira,22.64,56.38,36.86,11.08,0
Madeira,25.91,54.32,31.76,12.34,0
Madeira,27.00,49.38,31.76,15.32,0
Madeira,23.16,59.38,37.65,15.01,0
Madeira,24.29,52.50,31.37,13.42,0
Madeira,22.67,51.72,34.12,15.93,0
Madeira,22.50,58.95,37.25,19.77,0
Madeira,25.12,53.75,31.37,18.19,0
Madeira,25.33,51.72,34.12,15.57,0
Madeira,25.38,58.43,34.90,15.79,0
Madeira,26.51,53.75,31.37,13.37,0
Madeira,22.80,54.35,36.08,11.65,0
Madeira,23.77,58.24,35.69,9.92,0
Madeira,26.51,53.75,31.37,8.95,0
Madeira,22.04,53.85,35.69,7.56,0
Madeira,23.33,58.70,36.08,7.68,0
Madeira,26.51,53.75,31.37,7.09,0
Madeira,25.20,54.95,35.69,7.16,0
Madeira,23.27,56.32,34.12,6.34,0
Madeira,25.71,52.50,31.37,5.93,0
Madeira,22.22,56.84,37.25,5.40,0
Madeira,25.91,54.32,31.76,4.90,0
Madeira,27.80,50.00,32.16,4.85,0
Madeira,23.57,58.95,37.25,4.86,0
Madeira,26.51,53.75,31.37,4.77,0
Madeira,24.78,52.27,34.51,4.07,0
Madeira,24.71,57.95,34.51,3.73,0
Madeira,24.29,52.50,31.37,4.22,0
Madeira,22.35,54.84,36.47,4.10,0
Madeira,24.23,58.43,34.90,5.28,0
Madeira,25.71,52.50,31.37,5.33,0
Madeira,22.80,54.35,36.08,6.64,0
Madeira,22.64,58.24,35.69,6.06,0
Madeira,26.51,53.75,31.37,5.82,0
Madeira,22.35,55.43,36.08,5.52,0
Madeira,24.44,58.70,36.08,5.81,0
Madeira,25.12,53.75,31.37,5.58,0
Madeira,22.04,53.85,35.69,5.49,0
Madeira,23.33,58.06,36.47,5.34,0
Madeira,25.12,53.75,31.37,6.00,0
Madeira,23.75,53.33,35.29,6.38,0
Madeira,23.27,56.32,34.12,5.41,0
Madeira,26.34,51.90,30.98,5.37,0
Madeira,23.77,56.38,36.86,4.50,0
Madeira,25.91,54.32,31.76,5.20,0
Madeira,26.15,48.15,31.76,6.34,0
Madeira,22.11,59.38,37.65,6.62,0
Madeira,26.51,53.75,31.37,7.36,0
Madeira,25.33,51.72,34.12,6.95,0
Madeira,23.77,58.89,35.29,7.21,0
Madeira,25.12,53.75,31.37,6.50,0
Madeira,24.23,55.91,36.47,5.86,0
Madeira,25.33,54.22,32.55,5.87,0
Madeira,24.88,51.25,31.37,5.47,0
Madeira,22.11,58.76,38.04,5.25,0
Madeira,26.51,53.75,31.37,7.48,0
Madeira,27.14,50.60,32.55,6.64,0
Madeira,21.82,58.51,36.86,6.12,0
Madeira,25.71,52.50,31.37,5.86,0
Madeira,25.53,52.81,34.90,5.28,0
Madeira,25.20,57.47,34.12,4.74,0
Madeira,24.29,52.50,31.37,5.18,0
Madeira,22.64,56.38,36.86,4.81,0
Madeira,25.91,54.32,31.76,5.97,0
Madeira,27.00,49.38,31.76,6.44,0
Madeira,23.16,59.38,37.65,6.42,0
Madeira,26.51,53.75,31.37,7.31,0
Madeira,25.33,51.72,34.12,10.62,0
Madeira,23.77,58.24,35.69,12.01,0
Madeira,24.29,52.50,31.37,12.54,0
Madeira,22.35,55.43,36.08,12.20,0
Madeira,24.00,59.14,36.47,13.40,0
Madeira,25.71,52.50,31.37,11.57,0
Madeira,23.27,53.85,35.69,10.56,0
Madeira,23.27,56.32,34.12,10.35,0
Madeira,25.71,52.50,31.37,9.93,0
Madeira,22.22,56.84,37.25,13.98,0
Madeira,25.12,53.09,31.76,11.71,0
Madeira,27.00,49.38,31.76,11.44,0
Madeira,22.11,59.38,37.65,9.81,0
Madeira,25.12,53.75,31.37,8.98,0
Madeira,24.00,52.33,33.73,8.13,0
Madeira,22.50,58.33,37.65,7.26,0
Madeira,24.29,52.50,31.37,9.24,0
Madeira,23.18,51.76,33.33,8.63,0
Madeira,22.91,57.89,37.25,7.45,0
Madeira,25.12,53.75,31.37,6.57,0
Madeira,25.71,51.22,32.16,5.67,0
Madeira,21.82,57.29,37.65,6.07,0
Madeira,25.71,52.50,31.37,5.15,0
Madeira,26.34,50.00,32.16,6.14,0
Madeira,21.72,61.05,37.25,7.23,0
Madeira,25.71,52.50,31.37,7.79,0
Madeira,22.64,56.38,36.86,6.46,0
Madeira,24.78,55.42,32.55,6.63,0
Madeira,26.15,48.75,31.37,10.45,0
Madeira,22.50,58.33,37.65,9.22,0
Madeira,24.29,52.50,31.37,8.73,0
Madeira,23.72,51.19,32.94,8.41,0
Madeira,22.11,58.76,38.04,8.26,0
Madeira,25.71,52.50,31.37,8.45,0
Madeira,23.72,51.81,32.55,8.36,0
Madeira,21.43,57.73,38.04,8.41,0
Madeira,25.71,52.50,31.37,8.26,0
Madeira,25.50,48.78,32.16,8.17,0
Madeira,22.50,58.95,37.25,7.26,0
Madeira,26.51,53.75,31.37,8.86,0
Madeira,22.98,52.81,34.90,9.91,0
Madeira,24.23,58.43,34.90,8.73,0
Madeira,25.71,52.50,31.37,8.48,0
Madeira,23.77,56.38,36.86,10.47,0
Madeira,25.33,54.88,32.16,9.58,0
Madeira,27.69,48.75,31.37,9.33,0
Madeira,22.11,58.76,38.04,10.62,0
Madeira,26.51,53.75,31.37,9.25,0
Madeira,25.12,50.59,33.33,8.35,0
Madeira,22.22,58.06,36.47,8.21,0
Madeira,26.51,53.75,31.37,7.35,0
Madeira,22.04,53.85,35.69,8.17,0
Madeira,23.57,59.57,36.86,7.21,0
Madeira,26.51,53.75,31.37,6.63,0
Madeira,23.75,53.33,35.29,6.01,0
Madeira,24.00,57.47,34.12,6.01,0
Madeira,25.71,52.50,31.37,8.65,0
Madeira,21.92,55.32,36.86,11.42,0
Madeira,23.53,57.30,34.90,13.94,0
Madeira,25.71,52.50,31.37,18.72,0
Madeira,22.80,54.35,36.08,23.58,0
Madeira,24.23,57.78,35.29,20.82,0
Madeira,26.51,53.75,31.37,18.27,0
Madeira,21.60,54.35,36.08,15.89,0
Madeira,22.64,57.61,36.08,13.71,0
Madeira,26.51,53.75,31.37,11.61,0
Madeira,22.50,53.33,35.29,10.44,0
Madeira,23.33,58.06,36.47,9.15,0
Madeira,26.51,53.75,31.37,9.64,0
Madeira,23.75,53.93,34.90,8.71,0
Madeira,22.91,58.51,36.86,7.74,0
Madeira,27.14,53.16,30.98,7.81,0
Madeira,25.53,53.41,34.51,6.87,0
Madeira,24.71,57.95,34.51,6.36,0
Madeira,25.12,53.75,31.37,6.20,0
Madeira,22.35,54.84,36.47,9.13,0
Madeira,23.53,57.30,34.90,11.03,0
Madeira,25.71,52.50,31.37,11.03,0
Madeira,23.08,55.91,36.47,10.13,0
Madeira,24.78,55.42,32.55,9.68,0
Madeira,27.00,50.00,31.37,10.55,0
Madeira,22.11,58.76,38.04,8.87,0
Madeira,25.71,52.50,31.37,10.72,0
Madeira,27.14,50.60,32.55,12.33,0
Madeira,24.00,59.14,36.47,11.57,0
Madeira,25.12,53.75,31.37,11.61,0
Madeira,22.50,53.33,35.29,10.57,0
Madeira,21.05,60.64,36.86,8.57,0
Madeira,25.71,52.50,31.37,10.20,0
Madeira,21.92,55.32,36.86,11.47,0
Madeira,22.35,57.95,34.51,10.89,0
Madeira,24.00,50.00,31.37,11.75,0
Madeira,21.43,57.73,38.04,13.37,0
Madeira,25.12,53.09,31.76,13.35,0
Madeira,26.15,48.75,31.37,12.91,0
Madeira,22.11,60.00,37.25,12.38,0
Madeira,25.12,53.75,31.37,11.96,0
Madeira,22.80,54.35,36.08,10.33,0
Madeira,23.08,58.43,34.90,9.14,0
Madeira,24.88,51.25,31.37,8.26,0
Madeira,23.33,56.84,37.25,11.44,0
Madeira,24.26,55.95,32.94,10.17,0
Madeira,26.15,48.75,31.37,9.85,0
Madeira,22.11,60.00,37.25,8.05,0
Madeira,25.12,53.75,31.37,7.93,0
Madeira,24.00,54.95,35.69,10.58,0
Madeira,22.04,56.98,33.73,10.82,0
Madeira,25.50,50.00,31.37,10.46,0
Madeira,21.82,57.29,37.65,9.45,0
Madeira,25.71,52.50,31.37,11.47,0
Madeira,25.50,50.00,31.37,12.83,0
Madeira,21.72,59.79,38.04,13.37,0
Madeira,26.51,53.75,31.37,11.47,0
Madeira,22.98,53.41,34.51,10.17,0
Madeira,21.05,60.00,37.25,11.85,0
Madeira,25.71,52.50,31.37,12.30,0
Madeira,21.92,55.32,36.86,10.74,0
Madeira,21.92,58.43,34.90,9.49,0
Madeira,24.88,51.25,31.37,11.21,0
Madeira,22.91,57.29,37.65,11.45,0
Madeira,23.48,55.42,32.55,11.03,0
Madeira,27.00,50.00,31.37,13.07,0
Madeira,22.50,58.33,37.65,11.84,0
Madeira,24.29,52.50,31.37,12.50,0
Madeira,26.51,51.19,32.94,11.59,0
Madeira,22.91,59.14,36.47,10.43,0
Madeira,25.12,53.75,31.37,9.58,0
Madeira,22.04,53.85,35.69,9.60,0
Madeira,20.73,59.14,36.47,9.97,0
Madeira,25.71,52.50,31.37,8.63,0
Madeira,21.92,55.32,36.86,8.23,0
Madeira,23.27,56.98,33.73,7.99,0
Madeira,25.50,50.00,31.37,7.21,0
Madeira,21.43,57.73,38.04,6.40,0
Madeira,26.51,53.75,31.37,7.27,0
Madeira,27.80,50.00,32.16,7.81,0
Madeira,21.05,60.00,37.25,10.48,0
Madeira,26.34,51.90,30.98,13.99,0
Madeira,21.92,55.32,36.86,16.04,0
Madeira,22.80,57.47,34.12,14.68,0
Madeira,24.88,51.25,31.37,17.42,0
Madeira,21.82,57.29,37.65,15.49,0
Madeira,23.72,53.09,31.76,14.94,0
Madeira,27.00,49.38,31.76,12.90,0
Madeira,22.11,59.38,37.65,11.69,0
Madeira,25.71,53.16,30.98,10.72,0
Madeira,25.33,51.72,34.12,9.50,0
Madeira,21.18,57.30,34.90,8.55,0
Madeira,24.88,51.25,31.37,9.11,0
Madeira,21.82,57.29,37.65,9.33,0
Madeira,24.00,54.88,32.16,8.83,0
Madeira,27.69,48.75,31.37,7.67,0
Madeira,23.16,59.38,37.65,6.64,0
Madeira,26.51,53.75,31.37,5.79,0
Madeira,25.91,51.76,33.33,6.03,0
Madeira,23.77,58.24,35.69,6.09,0
Madeira,26.51,53.75,31.37,5.64,0
Madeira,24.71,55.43,36.08,10.68,0
Madeira,24.26,55.95,32.94,19.01,0
Madeira,26.15,48.75,31.37,17.52,0
Madeira,22.50,58.33,37.65,17.26,0
Madeira,26.51,53.75,31.37,14.97,0
Madeira,26.51,51.19,32.94,12.60,0
Madeira,21.82,59.78,36.08,10.67,0
Madeira,24.88,51.25,31.37,9.70,0
Madeira,21.92,55.32,36.86,8.07,0
Madeira,22.50,56.47,33.33,8.66,0
Madeira,27.00,50.00,31.37,9.28,0
Madeira,22.76,60.42,37.65,8.78,0
Madeira,25.71,52.50,31.37,8.17,0
Madeira,23.27,54.44,35.29,10.16,0
Madeira,22.91,58.51,36.86,9.62,0
Madeira,26.51,53.75,31.37,9.18,0
Madeira,24.00,54.95,35.69,11.68,0
Madeira,21.60,57.47,34.12,10.74,0
Madeira,25.50,50.00,31.37,10.25,0
Madeira,21.82,57.29,37.65,9.55,0
Madeira,25.71,52.50,31.37,12.31,0
Madeira,27.69,48.15,31.76,11.74,0
Madeira,22.91,58.51,36.86,11.11,0
Madeira,26.51,53.75,31.37,10.68,0
Madeira,21.70,52.81,34.90,13.23,0
Madeira,22.11,60.64,36.86,11.84,0
Madeira,24.29,52.50,31.37,11.44,0
Madeira,21.92,55.32,36.86,10.49,0
Madeira,22.80,57.47,34.12,9.51,0
Madeira,25.50,50.00,31.37,9.07,0
Madeira,21.72,59.79,38.04,7.95,0
Madeira,22.86,52.50,31.37,6.58,0
Madeira,23.75,53.93,34.90,9.37,0
Madeira,21.05,60.00,37.25,9.32,0
Madeira,24.29,52.50,31.37,9.40,0
Madeira,21.92,55.32,36.86,8.46,0
Madeira,22.80,57.47,34.12,8.37,0
Madeira,25.50,50.00,31.37,7.89,0
Madeira,21.82,57.29,37.65,7.22,0
Madeira,24.55,54.32,31.76,7.52,0
Madeira,27.69,48.15,31.76,9.03,0
Madeira,21.05,60.00,37.25,8.63,0
Madeira,25.12,53.75,31.37,10.05,0
Madeira,21.92,55.32,36.86,9.79,0
Madeira,22.80,57.47,34.12,8.76,0
Madeira,25.50,50.00,31.37,8.65,0
Madeira,22.22,56.84,37.25,7.73,0
Madeira,25.91,54.32,31.76,7.06,0
Madeira,27.00,49.38,31.76,7.87,0
Madeira,21.36,61.46,37.65,7.50,0
Madeira,24.29,52.50,31.37,8.69,0
Madeira,22.35,54.84,36.47,9.02,0
Madeira,22.35,57.95,34.51,8.14,0
Madeira,24.88,51.25,31.37,6.82,0
Madeira,21.43,57.73,38.04,5.73,0
Madeira,25.91,54.32,31.76,6.05,0
Madeira,27.69,48.75,31.37,5.41,0
Madeira,22.50,58.33,37.65,5.39,0
Madeira,25.12,53.75,31.37,6.09,0
Madeira,26.09,52.87,34.12,5.35,0
Madeira,24.71,57.30,34.90,4.74,0
Madeira,26.51,53.75,31.37,6.11,0
Madeira,22.64,56.38,36.86,9.10,0
Madeira,25.33,54.88,32.16,8.64,0
Madeira,27.69,48.75,31.37,8.89,0
Madeira,22.11,58.76,38.04,8.40,0
Madeira,25.71,52.50,31.37,9.07,0
Madeira,25.91,51.16,33.73,9.71,0
Madeira,24.91,58.89,35.29,9.15,0
Madeira,24.29,52.50,31.37,10.63,0
Madeira,22.80,54.35,36.08,9.68,0
Madeira,24.26,55.95,32.94,9.32,0
Madeira,26.15,48.75,31.37,9.45,0
Madeira,22.91,57.89,37.25,9.46,0
Madeira,24.29,52.50,31.37,13.57,0
Madeira,25.12,50.59,33.33,12.06,0
Madeira,21.51,58.24,35.69,13.48,0
Madeira,24.88,51.25,31.37,11.71,0
Madeira,22.22,56.84,37.25,11.42,0
Madeira,24.26,55.95,32.94,9.78,0
Madeira,27.00,50.00,31.37,11.11,0
Madeira,21.36,60.82,38.04,11.37,0
Madeira,24.29,52.50,31.37,13.20,0
Madeira,21.60,54.35,36.08,12.78,0
Madeira,21.82,59.78,36.08,10.82,0
Madeira,23.41,51.25,31.37,14.42,0
Madeira,22.50,58.33,37.65,13.03,0
Madeira,27.14,53.16,30.98,16.52,0
Madeira,26.51,51.19,32.94,14.53,0
Madeira,21.11,59.34,35.69,19.39,0
Madeira,23.41,51.25,31.37,17.25,0
Madeira,22.50,58.33,37.65,16.90,0
Madeira,25.12,53.75,31.37,17.27,0
Madeira,25.71,50.00,32.94,16.00,0
Madeira,24.44,58.70,36.08,14.21,0
Madeira,25.71,52.50,31.37,12.73,0
Madeira,23.27,53.85,35.69,12.68,0
Madeira,23.75,56.47,33.33,14.18,0
Madeira,27.00,50.00,31.37,12.76,0
Madeira,22.91,57.89,37.25,13.07,0
Madeira,30.00,30.00,47.06,1.94,0
Madeira,37.50,23.08,40.78,2.31,0
Madeira,30.00,30.00,47.06,2.47,0
Madeira,34.84,27.93,43.53,2.95,0
Madeira,37.50,23.08,40.78,3.50,0
Madeira,32.00,26.32,44.71,5.18,0
Madeira,30.00,31.40,47.45,4.79,0
Madeira,40.00,23.08,40.78,4.27,0
Madeira,35.45,20.95,41.18,4.98,0
Madeira,29.19,30.58,47.45,4.96,0
Madeira,37.50,23.08,40.78,4.28,0
Madeira,36.52,22.12,40.78,3.87,0
Madeira,29.19,30.58,47.45,3.78,0
Madeira,36.00,27.27,43.14,3.79,0
Madeira,37.50,23.08,40.78,3.59,0
Madeira,29.03,26.72,45.49,3.18,0
Madeira,32.43,31.09,46.67,5.21,0
Madeira,37.50,23.08,40.78,4.72,0
Madeira,35.00,22.22,42.35,4.98,0
Madeira,29.19,30.58,47.45,6.27,0
Madeira,37.50,23.08,40.78,5.37,0
Madeira,35.45,21.15,40.78,4.55,0
Madeira,29.19,30.58,47.45,4.09,0
Madeira,34.00,27.27,43.14,4.84,0
Madeira,37.50,23.08,40.78,4.62,0
Madeira,30.00,28.81,46.27,4.28,0
Madeira,30.81,31.09,46.67,4.63,0
Madeira,37.50,23.08,40.78,4.96,0
Madeira,35.00,22.22,42.35,4.57,0
Madeira,31.58,31.40,47.45,4.04,0
Madeira,37.50,23.08,40.78,4.23,0
Madeira,35.45,21.15,40.78,4.10,0
Madeira,29.19,30.58,47.45,4.22,0
Madeira,37.24,26.61,42.75,5.86,0
Madeira,37.50,23.08,40.78,6.05,0
Madeira,30.91,27.97,46.27,5.31,0
Madeira,32.43,31.62,45.88,4.64,0
Madeira,37.50,23.08,40.78,3.93,0
Madeira,32.31,23.64,43.14,3.88,0
Madeira,29.19,30.58,47.45,3.67,0
Madeira,37.50,23.08,40.78,3.26,0
Madeira,38.18,21.15,40.78,2.73,0
Madeira,29.19,30.58,47.45,2.27,0
Madeira,35.56,25.23,41.96,2.23,0
Madeira,37.50,23.08,40.78,2.38,0
Madeira,30.86,29.41,46.67,2.37,0
Madeira,33.33,31.03,45.49,2.09,0
Madeira,37.50,23.08,40.78,1.99,0
Madeira,31.11,24.32,43.53,2.24,0
Madeira,30.00,31.40,47.45,2.76,0
Madeira,37.50,23.08,40.78,2.43,0
Madeira,38.18,21.15,40.78,2.72,0
Madeira,29.19,30.58,47.45,3.20,0
Madeira,36.92,24.53,41.57,3.85,0
Madeira,37.50,23.08,40.78,3.81,0
Madeira,30.86,29.41,46.67,4.31,0
Madeira,33.53,29.82,44.71,4.42,0
Madeira,37.50,23.08,40.78,4.26,0
Madeira,32.14,25.00,43.92,3.81,0
Madeira,30.77,32.23,47.45,3.77,0
Madeira,37.50,23.08,40.78,3.37,0
Madeira,32.73,20.95,41.18,4.12,0
Madeira,30.00,31.40,47.45,4.99,0
Madeira,36.00,23.81,41.18,5.18,0
Madeira,37.50,23.08,40.78,4.66,0
Madeira,29.19,30.58,47.45,4.35,0
Madeira,30.77,32.23,47.45,3.81,0
Madeira,37.50,23.08,40.78,3.58,0
Madeira,38.18,21.15,40.78,3.85,0
Madeira,29.19,30.58,47.45,3.27,0
Madeira,38.40,23.81,41.18,3.41,0
Madeira,37.50,23.08,40.78,3.81,0
Madeira,29.19,30.58,47.45,3.51,0
Madeira,34.55,29.20,44.31,3.34,0
Madeira,40.00,23.08,40.78,3.99,0
Madeira,32.00,26.32,44.71,4.84,0
Madeira,30.00,31.40,47.45,4.48,0
Madeira,37.50,23.08,40.78,4.61,0
Madeira,38.18,21.15,40.78,5.26,0
Madeira,30.81,30.58,47.45,5.94,0
Madeira,33.60,23.81,41.18,5.54,0
Madeira,37.50,23.08,40.78,5.49,0
Madeira,29.19,30.58,47.45,4.88,0
Madeira,33.53,29.82,44.71,6.20,0
Madeira,37.50,23.08,40.78,5.82,0
Madeira,32.00,26.32,44.71,6.10,0
Madeira,30.77,32.23,47.45,5.80,0
Madeira,37.50,23.08,40.78,5.75,0
Madeira,35.45,20.95,41.18,5.40,0
Madeira,30.81,30.58,47.45,4.62,0
Madeira,36.00,23.81,41.18,4.95,0
Madeira,37.50,23.08,40.78,4.59,0
Madeira,30.00,30.00,47.06,5.17,0
Madeira,35.63,28.57,43.92,4.66,0
Madeira,37.50,23.08,40.78,4.79,0
Madeira,31.03,25.66,44.31,5.76,0
Madeira,30.77,32.23,47.45,5.97,0
Madeira,37.50,23.08,40.78,8.09,0
Madeira,35.45,20.75,41.57,8.03,0
Madeira,29.19,30.58,47.45,8.43,0
Madeira,36.00,23.81,41.18,7.38,0
Madeira,37.50,23.08,40.78,6.61,0
Madeira,29.19,30.58,47.45,6.02,0
Madeira,34.84,27.93,43.53,5.22,0
Madeira,37.50,23.08,40.78,4.67,0
Madeira,32.00,26.32,44.71,3.93,0
